CONTAINER_NUMBER,VESSEL_NAME,FREIGHT_FORWARDER,PLACE_OF_DISPATCH,PORT_OF_LOADING,PORT_OF_DISCHARGE,POST_PORT_OF_DISCHARGE,PLACE_OF_DISPATCH_DATE,PORT_OF_LOADING_DATE,PORT_OF_DISCHARGE_DATE,POST_PORT_OF_DISCHARGE_DATE,PREDICTED_DELIVERED_DATE,LAST_TRACKED_WITH_VESSEL,DELIVERED_FLAG,DELIVERED_DATE
FCIU8573349,CAPE SOUNIO,CIF,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Long Beach, California, United States","Dallas, Texas, United States",18/5/21,19/5/21,17/7/21,15/7/21,3/8/21,3/8/21,Yes,21/7/21
TGBU9903815,CAPE SOUNIO,CIF,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Long Beach, California, United States","Dallas, Texas, United States",18/5/21,19/5/21,23/7/21,21/7/21,9/8/21,26/7/21,Yes,27/7/21
TCNU3242533,OOCL LUXEMBOURG,Axiom,"Shanghai, Shanghai Shi, China","Shanghai, Shanghai Shi, China","Long Beach, California, United States","Gainesville, Texas, United States",11/4/21,17/4/21,5/5/21,7/6/21,11/6/21,20/6/21,Yes,16/6/21
FCIU8623774,MSC ORION,LF,"Vung Tau, Tinh Ba Ria-Vung Tau, Vietnam","Ho Chi Minh City, Ho Chi Minh City, Vietnam","Long Beach, California, United States","Dallas, Texas, United States",19/5/21,20/5/21,15/7/21,12/7/21,19/7/21,24/8/21,Yes,20/7/21
FCIU9776905,COSCO ENGLAND,CIF,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Long Beach, California, United States","Gainesville, Texas, United States",18/5/21,24/5/21,11/6/21,22/6/21,26/6/21,26/6/21,Yes,28/6/21
TRHU8545259,COSCO SHIPPING ANDES,Axiom,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Long Beach, California, United States","Gainesville, Texas, United States",21/5/21,5/6/21,24/6/21,9/7/21,13/7/21,30/7/21,Yes,14/7/21
OOCU4974982,HUI HAI LONG 06,CIF,"Zhuhai, Guangdong Sheng, China","Zhuhai, Guangdong Sheng, China","Long Beach, California, United States","Gainesville, Texas, United States",2/4/21,2/4/21,1/5/21,1/6/21,5/6/21,30/7/21,Yes,18/6/21
TCLU4576754,CONTI CORDOBA,,"Tianjin Xingang, Tianjin Shi, China","Tianjin Xingang, Tianjin Shi, China","Los Angeles, California, United States","Ferris, Texas, United States",27/7/20,4/8/20,23/8/20,4/9/20,8/9/20,21/4/21,,
FFAU3146075,APL YANGSHAN,,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Los Angeles, California, United States","Los Angeles, California, United States",1/4/21,7/4/21,23/4/21,26/4/21,10/5/21,21/4/21,,
OOLU2828645,OOCL TOKYO,,"Ningbo, Zhejiang Sheng, China","Ningbo, Zhejiang Sheng, China","Long Beach, California, United States","Gainesville, Texas, United States",10/4/20,12/4/20,30/4/20,7/5/20,11/5/20,21/4/21,,
OOCU7385836,OOCL SOUTHAMPTON,,"Ningbo, Zhejiang Sheng, China","Ningbo, Zhejiang Sheng, China","Long Beach, California, United States","Gainesville, Texas, United States",2/4/21,7/4/21,27/4/21,17/5/21,21/5/21,26/5/21,Yes,19/5/21
OOLU4431955,TZINI,,"Chattogram, Chittagong, Bangladesh","Chattogram, Chittagong, Bangladesh","Los Angeles, California, United States","Gainesville, Texas, United States",31/3/21,5/4/21,18/5/21,25/5/21,29/5/21,17/9/21,Yes,27/5/21
UETU5349363,CSCL SPRING,,"Edmonton, Alberta, Canada","Vancouver, British Columbia, Canada","Nansha, Guangdong Sheng, China","Nansha, Guangdong Sheng, China",10/1/20,18/1/20,25/2/20,18/3/20,18/3/20,21/4/21,,
OOLU0111819,TZINI,,"Chattogram, Chittagong, Bangladesh","Chattogram, Chittagong, Bangladesh","Los Angeles, California, United States","Dallas, Texas, United States",12/3/21,20/3/21,19/5/21,25/5/21,25/5/21,24/5/21,Yes,28/5/21
FCIU2574899,MSC ANTONELLA,,,"San Antonio, Region de Valparaiso, Chile","Rotterdam, Provincie Zuid-Holland, Netherlands",,19/5/19,19/5/19,11/6/19,,,21/4/21,,
MEDU6732716,MSC ARUSHI R.,CIF,,"Antwerpen, Flanders, Belgium","Stavanger, Rogaland Fylke, Norway","Stavanger, Rogaland Fylke, Norway",17/10/21,17/10/21,4/11/21,,,1/12/21,,
OOCU8154981,COSCO SPAIN,Axiom,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Long Beach, California, United States","Gainesville, Texas, United States",11/4/21,21/4/21,11/5/21,3/6/21,7/6/21,15/6/21,Yes,8/6/21
CSNU7583471,COSCO SHIPPING DENALI,,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Long Beach, California, United States",,6/3/21,7/3/21,1/4/21,,18/4/21,21/4/21,,
OOLU6784144,OOCL UTAH,,"Ningbo, Zhejiang Sheng, China","Ningbo, Zhejiang Sheng, China","Long Beach, California, United States","Gainesville, Texas, United States",5/2/21,9/2/21,1/3/21,12/3/21,16/3/21,21/4/21,,
OOLU0276110,SOL DELTA,,"Chattogram, Chittagong, Bangladesh","Chattogram, Chittagong, Bangladesh","Los Angeles, California, United States","Gainesville, Texas, United States",21/3/21,26/3/21,10/5/21,24/5/21,24/5/21,24/5/21,Yes,25/5/21
OOLU8326644,OOCL LUXEMBOURG,,"Ningbo, Zhejiang Sheng, China","Ningbo, Zhejiang Sheng, China","Long Beach, California, United States","Gainesville, Texas, United States",15/1/21,21/1/21,10/2/21,22/2/21,26/2/21,21/4/21,,
DFSU4350572,EVER LAWFUL,,"Shanghai, Shanghai Shi, China","Shanghai, Shanghai Shi, China","Charleston, South Carolina, United States",,6/3/21,9/3/21,20/4/21,,7/5/21,21/4/21,,
OOLU7394813,OOCL TOKYO,,"Ningbo, Zhejiang Sheng, China","Ningbo, Zhejiang Sheng, China","Long Beach, California, United States","Gainesville, Texas, United States",22/5/20,24/5/20,11/6/20,17/6/20,21/6/20,21/4/21,,
OOCU8371122,OOCL LONDON,,"Shanghai, Shanghai Shi, China","Shanghai, Shanghai Shi, China","Long Beach, California, United States","Gainesville, Texas, United States",28/3/21,7/4/21,20/4/21,17/5/21,21/5/21,24/5/21,Yes,19/5/21
FFAU3233251,OOCL TOKYO,,"Shanghai, Shanghai Shi, China","Shanghai, Shanghai Shi, China","Long Beach, California, United States","Gainesville, Texas, United States",31/1/21,5/2/21,21/2/21,8/3/21,12/3/21,21/4/21,,
OOLU7394330,OOCL TOKYO,,"Ningbo, Zhejiang Sheng, China","Ningbo, Zhejiang Sheng, China","Long Beach, California, United States","Gainesville, Texas, United States",22/5/20,24/5/20,11/6/20,17/6/20,21/6/20,21/4/21,,
MSDU8216444,MSC VANDYA,,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Los Angeles, California, United States","Industry, California, United States",3/3/21,5/3/21,15/4/21,,2/5/21,21/4/21,,
OOLU9774094,COSCO THAILAND,,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Prince Rupert, British Columbia, Canada","Toronto, Ontario, Canada",30/1/21,13/2/21,1/3/21,15/3/21,19/3/21,21/4/21,,
NYKU4388932,ALS MARS,,"Tianjin Xingang, Tianjin Shi, China","Tianjin Xingang, Tianjin Shi, China","Los Angeles, California, United States","Dallas, Texas, United States",15/3/21,24/3/21,25/4/21,6/5/21,10/5/21,6/5/21,,
OOCU6804711,OOCL LUXEMBOURG,Axiom,"Ningbo, Zhejiang Sheng, China","Ningbo, Zhejiang Sheng, China","Long Beach, California, United States","Gainesville, Texas, United States",9/4/21,13/4/21,7/5/21,24/5/21,28/5/21,26/6/21,Yes,1/6/21
CSLU2275442,BEIJING,,"Zhongshan, Guangdong Sheng, China","Zhongshan, Guangdong Sheng, China","Long Beach, California, United States","Dallas, Texas, United States",29/12/20,29/12/20,16/3/21,18/3/21,2/4/21,21/4/21,,
TCKU6540223,YM CELEBRITY,,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Ho Chi Minh City, Ho Chi Minh City, Vietnam","Los Angeles, California, United States","Dallas, Texas, United States",,,14/5/21,,31/5/21,21/4/21,,
OOLU4346792,HUI HAI LONG 06,,"Zhuhai, Guangdong Sheng, China","Zhuhai, Guangdong Sheng, China","Long Beach, California, United States","Gainesville, Texas, United States",22/1/21,22/1/21,15/2/21,9/3/21,13/3/21,21/4/21,,
OOLU8771402,OOCL TAIPEI,Axiom,"Ningbo, Zhejiang Sheng, China","Ningbo, Zhejiang Sheng, China","Long Beach, California, United States","Gainesville, Texas, United States",16/4/21,20/4/21,11/5/21,24/5/21,28/5/21,14/6/21,Yes,29/7/21
OOLU8892045,OOCL SOUTHAMPTON,Axiom,"Shanghai, Shanghai Shi, China","Shanghai, Shanghai Shi, China","Long Beach, California, United States","Gainesville, Texas, United States",4/4/21,11/4/21,25/4/21,8/5/21,12/5/21,28/5/21,Yes,13/5/21
DRYU9920656,OOCL TOKYO,Axiom,"Shanghai, Shanghai Shi, China","Shanghai, Shanghai Shi, China","Long Beach, California, United States","Gainesville, Texas, United States",25/4/21,2/5/21,14/5/21,3/6/21,7/6/21,7/6/21,Yes,8/6/21
TGHU9385791,NORTHERN JUVENILE,CIF,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Los Angeles, California, United States","Dallas, Texas, United States",7/5/21,9/5/21,6/6/21,14/6/21,18/6/21,14/6/21,Yes,17/6/21
NYKU4314992,COLOMBO EXPRESS,,"Shanghai, Shanghai Shi, China","Shanghai, Shanghai Shi, China","Los Angeles, California, United States","Dallas, Texas, United States",16/3/21,23/3/21,18/4/21,20/5/21,24/5/21,24/5/21,Yes,21/5/21
BEAU5285217,ONE THESEUS,JAS,"Ningbo, Zhejiang Sheng, China","Ningbo, Zhejiang Sheng, China","Los Angeles, California, United States","Dallas, Texas, United States",18/5/21,23/5/21,8/6/21,7/7/21,11/7/21,26/7/21,Yes,13/7/21
BEAU5301848,HYUNDAI NEPTUNE,,"Shanghai, Shanghai Shi, China","Shanghai, Shanghai Shi, China","Los Angeles, California, United States","Dallas, Texas, United States",17/4/21,24/4/21,19/5/21,8/6/21,12/6/21,9/6/21,Yes,9/6/21
CAIU8613973,ONE AQUILA,LF,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Cai Mep, Tinh Ba Ria-Vung Tau, Vietnam","Long Beach, California, United States","Dallas, Texas, United States",25/3/21,1/4/21,5/5/21,4/6/21,8/6/21,9/6/21,Yes,14/6/21
CCLU6967860,CMA CGM CASSIOPEIA,nppnexpress,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Los Angeles, California, United States","Dallas, Texas, United States",6/5/21,30/5/21,23/6/21,8/7/21,12/7/21,11/6/21,Yes,14/7/21
CCLU7784919,,,"Xinpu, Jiangsu Sheng, China","Xinpu, Jiangsu Sheng, China","Dongguan, Guangdong Sheng, China","Dongguan, Guangdong Sheng, China",12/3/21,13/3/21,31/3/21,1/4/21,17/4/21,9/6/21,Yes,1/6/21
BMOU5478057,,Axiom,,,,"Dallas, Texas, United States",,,,18/6/21,18/6/21,21/6/21,,
CMAU4714973,NORTHERN JUVENILE,Axiom,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Los Angeles, California, United States","Dallas, Texas, United States",7/5/21,10/5/21,3/6/21,11/6/21,15/6/21,28/6/21,Yes,15/6/21
EITU1301548,ST EVER,Evergreen,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Ho Chi Minh City, Ho Chi Minh City, Vietnam","Los Angeles, California, United States","Dallas, Texas, United States",17/4/21,17/4/21,,9/7/21,13/7/21,15/7/21,Yes,15/7/21
EITU1395212,TOKYO TOWER,Axiom,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Ho Chi Minh City, Ho Chi Minh City, Vietnam","Los Angeles, California, United States","Dallas, Texas, United States",11/5/21,11/5/21,,12/7/21,16/7/21,15/7/21,,
FBIU0397750,,,"Qingdao, Shandong Sheng, China","Qingdao, Shandong Sheng, China","Kaohsiung, Kaohsiung, Taiwan","Kaohsiung, Kaohsiung, Taiwan",16/10/20,18/10/20,25/10/20,27/10/20,11/11/20,28/5/21,Yes,28/5/21
CSNU7699564,,Axiom,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Long Beach, California, United States","Dallas, Texas, United States",5/6/21,5/6/21,23/6/21,,10/7/21,8/7/21,Yes,12/7/21
EGSU9189397,EVER SMILE,Yuesheng,"Ningbo, Zhejiang Sheng, China","Ningbo, Zhejiang Sheng, China","Houston, Texas, United States","Houston, Texas, United States",19/6/21,19/6/21,,26/7/21,30/7/21,3/8/21,Yes,29/7/21
NYKU9741929,ONE COMMITMENT,,"Dallas, Texas, United States","Los Angeles, California, United States","Hong Kong, Central and Western District, Hong Kong","Hong Kong, Central and Western District, Hong Kong",4/6/21,11/7/21,7/8/21,7/8/21,24/8/21,11/6/21,Yes,3/6/21
OOLU8153826,COSCO SHIPPING DENALI,Axiom,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Long Beach, California, United States","Gainesville, Texas, United States",23/4/21,7/5/21,22/5/21,8/6/21,12/6/21,9/6/21,,
OOLU8955272,OOCL LUXEMBOURG,Axiom,"Shanghai, Shanghai Shi, China","Shanghai, Shanghai Shi, China","Long Beach, California, United States","Gainesville, Texas, United States",11/4/21,17/4/21,5/5/21,1/6/21,5/6/21,9/6/21,Yes,2/6/21
MSCU5135514,CAPE SOUNIO,CIF,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Long Beach, California, United States","Dallas, Texas, United States",18/5/21,21/5/21,6/7/21,24/7/21,28/7/21,26/7/21,Yes,29/7/21
CAIU8623689,CMA CGM BRAZIL,Expeditors,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Vung Tau, Tinh Ba Ria-Vung Tau, Vietnam","Los Angeles, California, United States","Dallas, Texas, United States",21/3/21,29/3/21,16/5/21,26/5/21,30/5/21,15/6/21,Yes,1/6/21
CMAU6338962,,JAS,"Newark, New Jersey, United States",,,,20/7/21,20/7/21,,,,22/7/21,,
HPCU4152898,,2nd charter,,,,,,,,,,,Yes,3/1/22
SEGU4485104,THALASSA PISTIS,Axiom,,,,,,,,,,,Yes,9/7/21
OOLU7832993,X-PRESS KABRU,,"Chattogram, Chittagong, Bangladesh","Chattogram, Chittagong, Bangladesh","Los Angeles, California, United States","Dallas, Texas, United States",7/3/21,6/3/21,26/4/21,11/5/21,11/5/21,6/5/21,,
OOLU8612334,OOCL TAIPEI,Axiom,"Shanghai, Shanghai Shi, China","Shanghai, Shanghai Shi, China","Long Beach, California, United States","Gainesville, Texas, United States",18/4/21,23/4/21,13/5/21,3/6/21,7/6/21,15/6/21,Yes,5/6/21
OOLU8796123,,CIF,"Long Beach, California, United States","Long Beach, California, United States","Kaohsiung, Kaohsiung, Taiwan","Taoyuan, , Taiwan",26/6/21,26/6/21,11/7/21,,28/7/21,29/6/21,Yes,7/6/21
DRYU6031207,ONE COMPETENCE,Axiom,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Cai Mep, Tinh Ba Ria-Vung Tau, Vietnam","Los Angeles, California, United States","Dallas, Texas, United States",23/5/21,30/5/21,7/7/21,29/7/21,2/8/21,30/7/21,Yes,2/8/21
TCLU5784074,NYK DANIELLA,,,"Acajutla, Departamento de Sonsonate, El Salvador","Seattle, Washington, United States",,24/2/21,24/2/21,12/5/21,,,21/4/21,,
TRHU7010226,HYUNDAI COURAGE,,"Shanghai, Shanghai Shi, China","Shanghai, Shanghai Shi, China","Los Angeles, California, United States","Dallas, Texas, United States",2/4/21,9/4/21,30/4/21,4/5/21,8/5/21,21/4/21,,
OOLU9612339,OOCL TOKYO,,"Ningbo, Zhejiang Sheng, China","Ningbo, Zhejiang Sheng, China","Long Beach, California, United States","Dallas, Texas, United States",12/3/21,16/3/21,4/4/21,10/4/21,14/4/21,21/4/21,,
CCLU6860017,,Axiom,"Shanghai, Shanghai Shi, China","Shanghai, Shanghai Shi, China","Hamburg, Free and Hanseatic City of Hamburg, Germany","Hamburg, Free and Hanseatic City of Hamburg, Germany",6/7/21,6/7/21,11/8/21,,28/8/21,8/7/21,Yes,26/5/21
TGHU6063410,MSC CLORINDA,CIF,"Shekou, Guangdong Sheng, China","Shekou, Guangdong Sheng, China","Long Beach, California, United States","Dallas, Texas, United States",6/6/21,10/6/21,28/7/21,28/7/21,14/8/21,16/8/21,,
SEGU6989850,CAPE SOUNIO,AXIOM,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Long Beach, California, United States","Dallas, Texas, United States",18/5/21,19/5/21,29/6/21,26/7/21,30/7/21,29/6/21,,
TCKU7768218,COSCO AMERICA,nppnexpress,"Ningbo, Zhejiang Sheng, China","Ningbo, Zhejiang Sheng, China","Long Beach, California, United States","Los Angeles, California, United States",24/9/20,25/9/20,20/10/20,28/10/20,1/11/20,9/6/21,,
TCLU4974104,,Axiom,,,,,,,,,,15/7/21,Yes,10/7/21
TCLU6950966,TZINI,,"Chattogram, Chittagong, Bangladesh","Chattogram, Chittagong, Bangladesh","Los Angeles, California, United States","Gainesville, Texas, United States",31/3/21,5/4/21,20/5/21,26/5/21,26/5/21,15/7/21,Yes,29/5/21
TCNU2016300,CAPE SOUNIO,CIF,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Long Beach, California, United States","Dallas, Texas, United States",18/5/21,19/5/21,16/7/21,15/7/21,2/8/21,22/7/21,Yes,20/7/21
TCNU4192519,ONE MANHATTAN,American Logistics,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Long Beach, California, United States","Dallas, Texas, United States",3/5/21,16/5/21,2/6/21,13/7/21,17/7/21,15/7/21,Yes,15/7/21
TCNU4545529,EVER EAGLE,LF,"Ningbo, Zhejiang Sheng, China","Ningbo, Zhejiang Sheng, China","Vancouver, British Columbia, Canada",,25/6/21,30/6/21,19/7/21,,5/8/21,8/7/21,Yes,18/5/21
TGBU4394443,MSC CRISTINA,JAS,"Tianjin Xin Gang, Tianjin Shi, China","Tianjin Xin Gang, Tianjin Shi, China","Los Angeles, California, United States","Dallas, Texas, United States",22/5/21,25/5/21,22/7/21,20/7/21,8/8/21,26/7/21,Yes,27/7/21
OOLU9954964,COSCO PORTUGAL,Focus,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Cai Mep, Tinh Ba Ria-Vung Tau, Vietnam","Long Beach, California, United States","Gainesville, Texas, United States",22/5/21,27/5/21,23/6/21,6/7/21,10/7/21,12/8/21,Yes,12/7/21
TRHU8536811,CAPE SOUNIO,CIF,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Long Beach, California, United States","Dallas, Texas, United States",18/5/21,21/5/21,17/7/21,15/7/21,3/8/21,22/7/21,Yes,22/7/21
TRHU8536853,CAPE SOUNIO,AXIOM,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Long Beach, California, United States","Dallas, Texas, United States",18/5/21,19/5/21,29/6/21,12/7/21,16/7/21,29/6/21,,
CSNU7524870,COSCO SHIPPING ANDES,Axiom,"Long Beach, California, United States","Long Beach, California, United States","Kaohsiung, Kaohsiung, Taiwan","Taoyuan, , Taiwan",21/6/21,29/6/21,14/7/21,15/7/21,31/7/21,29/6/21,,
TRHU8536940,CAPE SOUNIO,CIF,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Long Beach, California, United States","Dallas, Texas, United States",18/5/21,21/5/21,16/7/21,13/7/21,2/8/21,17/8/21,Yes,20/7/21
TRLU7468623,NORTHERN JUVENILE,Axiom,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Los Angeles, California, United States","Dallas, Texas, United States",7/5/21,8/5/21,4/6/21,,21/6/21,28/5/21,,
MEDU8410030,,CIF,"Vung Tau, Tinh Ba Ria-Vung Tau, Vietnam","Ho Chi Minh City, Ho Chi Minh City, Vietnam",,,23/6/21,25/6/21,,,,29/6/21,,
FCIU9851090,,Axiom,"Ningbo, Zhejiang Sheng, China","Ningbo, Zhejiang Sheng, China","Long Beach, California, United States","Dallas, Texas, United States",13/4/21,13/4/21,5/5/21,,22/5/21,11/6/21,Yes,15/6/21
FDCU0060910,CAPE SOUNIO,CIF,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Long Beach, California, United States","Dallas, Texas, United States",18/5/21,19/5/21,16/7/21,13/7/21,2/8/21,26/7/21,Yes,20/7/21
FDCU0605218,E.R. CANADA,LF,"Dallas, Texas, United States","Houston, Texas, United States","Santos, Sao Paulo, Brazil","Santos, Sao Paulo, Brazil",30/6/21,20/7/21,5/8/21,5/8/21,22/8/21,26/7/21,Yes,30/6/21
FSCU8921227,COSCO ITALY,AXIOM,"Nansha, Guangdong Sheng, China","Nansha, Guangdong Sheng, China","Long Beach, California, United States","Gainesville, Texas, United States",12/6/21,5/7/21,29/7/21,12/8/21,12/8/21,24/8/21,Yes,13/8/21
TGBU7766550,COSCO PORTUGAL,Axiom,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Long Beach, California, United States","Dallas, Texas, United States",17/7/21,27/7/21,16/8/21,25/8/21,26/8/21,25/8/21,Yes,27/8/21
FLSU6004629,,1st charter,,,,,,,,,9/11/21,,Yes,9/11/21
TFLU4987410,,4PX,,,,,,,,,,,Yes,29/10/21
FLSU6004608,,1st charter,,,,,,,,,4/11/21,,Yes,4/11/21
MEDU8090209,CAPE SOUNIO,CIF,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Long Beach, California, United States","Dallas, Texas, United States",18/5/21,19/5/21,19/7/21,16/7/21,5/8/21,22/7/21,Yes,23/7/21
TCNU1593781,MSC AURIGA,LF,"Vung Tau, Tinh Ba Ria-Vung Tau, Vietnam","Ho Chi Minh City, Ho Chi Minh City, Vietnam","Long Beach, California, United States","Dallas, Texas, United States",30/5/21,31/5/21,22/7/21,19/7/21,8/8/21,30/7/21,Yes,26/7/21
NYKU5931670,ONE AQUILA,LF,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Cai Mep, Tinh Ba Ria-Vung Tau, Vietnam","Long Beach, California, United States","Dallas, Texas, United States",26/3/21,1/4/21,4/5/21,9/6/21,13/6/21,8/7/21,Yes,18/6/21
EGHU9800943,,LF,,,,,,,,,,11/6/21,Yes,27/5/21
ONEU0170451,ONE MANHATTAN,American Logistics,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Long Beach, California, United States","Dallas, Texas, United States",3/5/21,16/5/21,4/6/21,12/7/21,16/7/21,15/7/21,Yes,15/7/21
OOCU8046570,,CIF,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Long Beach, California, United States","Dallas, Texas, United States",14/5/21,14/5/21,28/5/21,,14/6/21,19/7/21,Yes,1/7/21
TEMU6412968,APL SANTIAGO,LF,"Shanghai, Shanghai Shi, China","Shanghai, Shanghai Shi, China","Seattle, Washington, United States","Louisville, Kentucky, United States",24/6/21,1/7/21,22/7/21,,8/8/21,15/7/21,Yes,21/5/21
OOLU8314509,COSCO NETHERLANDS,,"Dallas, Texas, United States","Long Beach, California, United States","Ho Chi Minh City, Ho Chi Minh City, Vietnam","Ho Chi Minh City, Ho Chi Minh City, Vietnam",18/3/21,31/3/21,29/4/21,30/4/21,16/5/21,21/4/21,,
OOCU7052521,COSCO NETHERLANDS,,"Long Beach, California, United States","Long Beach, California, United States","Cai Mep, Tinh Ba Ria-Vung Tau, Vietnam","Thuan An, Tinh Quang Nam, Vietnam",25/3/21,31/3/21,19/4/21,23/4/21,23/4/21,21/4/21,,
OOCU7797807,SEAMAX STRATFORD,,"Sydney, State of New South Wales, Australia","Sydney, State of New South Wales, Australia","Kaohsiung, Kaohsiung, Taiwan","Taoyuan, , Taiwan",10/3/21,24/3/21,12/4/21,,29/4/21,21/4/21,,
OOLU9942217,TRADER,,"Haiphong, Thanh Pho Hai Phong, Vietnam","Haiphong, Thanh Pho Hai Phong, Vietnam","Melbourne, State of Victoria, Australia","Melbourne, State of Victoria, Australia",12/3/21,15/3/21,5/4/21,9/4/21,13/4/21,21/4/21,,
TCLU3370178,ONE EAGLE,,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Ba Ria, Tinh Ba Ria-Vung Tau, Vietnam","Long Beach, California, United States","Long Beach, California, United States",28/1/21,7/2/21,30/3/21,30/3/21,16/4/21,21/4/21,,
OOLU7467695,CMA CGM LAPEROUSE,,"Shanghai, Shanghai Shi, China","Shanghai, Shanghai Shi, China","New York City, New York, United States","New York City, New York, United States",5/3/21,6/3/21,11/4/21,15/4/21,19/4/21,21/4/21,,
OOLU0435654,NYK VENUS,,"Nagoya, Aichi-ken, Japan","Nagoya, Aichi-ken, Japan","Los Angeles, California, United States","Inc., California, United States",15/1/21,30/1/21,28/2/21,4/3/21,4/3/21,21/4/21,,
OOCU7336615,APL VANDA,,"Ningbo, Zhejiang Sheng, China","Ningbo, Zhejiang Sheng, China","Southampton, England, United Kingdom","DP World Southampton, England, United Kingdom",26/1/21,31/1/21,6/3/21,24/3/21,28/3/21,21/4/21,,
HJMU4990711,ONE IBIS,,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Cai Mep, Tinh Ba Ria-Vung Tau, Vietnam","Long Beach, California, United States","Dallas, Texas, United States",17/10/20,21/10/20,15/11/20,30/11/20,4/12/20,21/4/21,,
CAAU5565328,YM MODESTY,,,"Savannah, Georgia, United States","Abu Dhabi, Abu Zaby, United Arab Emirates",,17/3/21,17/3/21,6/5/21,,,21/4/21,,
DFSU6262531,COSCO EUROPE,,"Shanghai, Shanghai Shi, China","Shanghai, Shanghai Shi, China","Long Beach, California, United States","Long Beach, California, United States",17/8/20,20/8/20,22/9/20,24/9/20,9/10/20,21/4/21,,
OOLU9742970,OOCL SOUTHAMPTON,,"Ningbo, Zhejiang Sheng, China","Ningbo, Zhejiang Sheng, China","Long Beach, California, United States","Dallas, Texas, United States",2/4/21,7/4/21,26/4/21,,13/5/21,6/5/21,,
SUDU6751456,SEALAND MICHIGAN,,"Qingdao, Shandong Sheng, China","Qingdao, Shandong Sheng, China","Melbourne, State of Victoria, Australia","Melbourne, State of Victoria, Australia",30/3/21,7/4/21,1/5/21,,18/5/21,21/4/21,,
TCLU5638700,MOL GARLAND,,"Tianjin Xingang, Tianjin Shi, China","Tianjin Xingang, Tianjin Shi, China","Semarang, Provinsi Jawa Tengah, Indonesia","Semarang, Provinsi Jawa Tengah, Indonesia",31/3/21,4/4/21,23/4/21,25/4/21,10/5/21,21/4/21,,
OOCU8462069,OOCL ITALY,,"Shekou, Guangdong Sheng, China","Shekou, Guangdong Sheng, China","Sydney, State of New South Wales, Australia","Sydney, State of New South Wales, Australia",20/2/21,23/2/21,11/3/21,15/3/21,19/3/21,21/4/21,,
TCNU1116710,SANTA CLARA,,"Cape Town, Western Cape, South Africa","Cape Town, Western Cape, South Africa","Rotterdam, Provincie Zuid-Holland, Netherlands","Rotterdam, Provincie Zuid-Holland, Netherlands",16/3/21,20/3/21,9/4/21,,26/4/21,21/4/21,,
KKFU7753318,ONE AQUILA,,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Cai Mep, Tinh Ba Ria-Vung Tau, Vietnam","Long Beach, California, United States","Dallas, Texas, United States",10/10/20,15/10/20,21/11/20,10/12/20,14/12/20,21/4/21,,
MRKU0349228,MP THE MCGINEST,,"Shanghai, Shanghai Shi, China","Shanghai, Shanghai Shi, China","Oakland, California, United States","Oakland, California, United States",23/1/21,29/1/21,25/2/21,,14/3/21,21/4/21,,
