CONTAINER_NUMBER,VESSEL_NAME,FREIGHT_FORWARDER,PLACE_OF_DISPATCH,PORT_OF_LOADING,PORT_OF_DISCHARGE,POST_PORT_OF_DISCHARGE,PLACE_OF_DISPATCH_DATE,PORT_OF_LOADING_DATE,PORT_OF_DISCHARGE_DATE,POST_PORT_OF_DISCHARGE_DATE,PREDICTED_DELIVERED_DATE,LAST_TRACKED_WITH_VESSEL,DELIVERED_FLAG,DELIVERED_DATE
MAGU5522229,OOCL TAIPEI,Axiom,,,,,,,,,,,Yes,2/7/21
TLLU5206069,COSCO PIRAEUS,Yuesheng,"Ningbo, Zhejiang Sheng, China","Ningbo, Zhejiang Sheng, China","Houston, Texas, United States","Houston, Texas, United States",5/7/21,5/7/21,,9/8/21,13/8/21,11/8/21,Yes,13/8/21
BMOU5576840,MSC FLAVIA,LF,"Vung Tau, Tinh Ba Ria-Vung Tau, Vietnam","Ho Chi Minh City, Ho Chi Minh City, Vietnam","Long Beach, California, United States","Dallas, Texas, United States",25/6/21,26/6/21,30/7/21,29/7/21,30/7/21,24/8/21,Yes,4/8/21
TRHU5842314,,Axiom,"Shanghai, Shanghai Shi, China","Shanghai, Shanghai Shi, China","Long Beach, California, United States","Dallas, Texas, United States",5/5/21,5/5/21,21/5/21,,7/6/21,29/6/21,Yes,30/6/21
CAAU5469962,GULF BRIDGE,YUE SHENG,"Shanghai, Shanghai Shi, China","Shanghai, Shanghai Shi, China","Houston, Texas, United States","Houston, Texas, United States",6/7/21,6/7/21,,23/8/21,27/8/21,17/9/21,Yes,18/8/21
FFAU3531364,CSCL ATLANTIC OCEAN,,"Ningbo, Zhejiang Sheng, China","Ningbo, Zhejiang Sheng, China","Felixstowe, England, United Kingdom","Felixstowe, England, United Kingdom",12/7/21,16/7/21,18/8/21,21/8/21,4/9/21,12/7/21,,
TCLU8855016,YM UBIQUITY,Axiom,"Shanghai, Shanghai Shi, China","Shanghai, Shanghai Shi, China","Los Angeles, California, United States","Dallas, Texas, United States",16/6/21,22/6/21,17/7/21,9/8/21,9/8/21,24/8/21,Yes,11/8/21
TLLU5054881,MSC CLORINDA,CIF,"Shekou, Guangdong Sheng, China","Shekou, Guangdong Sheng, China","Long Beach, California, United States","Dallas, Texas, United States",6/6/21,10/6/21,28/7/21,28/7/21,14/8/21,30/7/21,Yes,30/7/21
CMAU6748782,DIMITRIS C,Yuesheng,"Houston, Texas, United States","Houston, Texas, United States","Manaus, Amazonas, Brazil",,17/8/21,18/8/21,22/9/21,,9/10/21,24/8/21,Yes,3/8/21
CSNU7367261,COSCO ENGLAND,CIF,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Long Beach, California, United States","Gainesville, Texas, United States",18/5/21,24/5/21,13/6/21,22/6/21,26/6/21,15/7/21,Yes,28/6/21
SEGU4890299,CMA CGM CALLISTO,Axiom,"Xiamen, Fujian Sheng, China","Xiamen, Fujian Sheng, China","Los Angeles, California, United States","Los Angeles, California, United States",12/4/21,13/4/21,17/5/21,21/7/21,25/7/21,24/6/21,Yes,26/7/21
CRSU9258501,MSC SONIA,LF,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Ho Chi Minh City, Ho Chi Minh City, Vietnam","Long Beach, California, United States","Dallas, Texas, United States",10/7/21,12/7/21,2/9/21,12/9/21,14/9/21,10/9/21,Yes,16/9/21
FSCU8816828,COSCO SHIPPING DENALI,Axiom,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Cai Mep, Tinh Ba Ria-Vung Tau, Vietnam","Long Beach, California, United States","Gainesville, Texas, United States",13/6/21,17/6/21,23/7/21,2/8/21,6/8/21,4/8/21,Yes,4/8/21
OOCU6946629,,Axiom,,,,,,,,,22/7/21,,Yes,28/7/21
FSCU7288243,MSC AURIGA,GWW,,,,,,,,,20/7/21,,Yes,21/7/21
EITU1818607,NORTHERN JUVENILE,NINGBO YUE SHENG INTERNATIONAL,"Ningbo, Zhejiang Sheng, China","Ningbo, Zhejiang Sheng, China","Houston, Texas, United States","Houston, Texas, United States",15/7/21,15/7/21,,24/8/21,28/8/21,10/9/21,Yes,10/9/21
OOLU8925853,COSCO VALENCIA,YUE SHENG,"Ningbo, Zhejiang Sheng, China","Ningbo, Zhejiang Sheng, China","Houston, Texas, United States","Houston, Texas, United States",14/6/21,19/6/21,17/7/21,22/7/21,26/7/21,16/8/21,Yes,23/7/21
MEDU7016188,MSC AURIGA,GWW,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Ho Chi Minh City, Ho Chi Minh City, Vietnam","Long Beach, California, United States","Dallas, Texas, United States",3/6/21,5/6/21,8/7/21,25/7/21,29/7/21,26/7/21,Yes,28/7/21
TGHU6492137,MSC VEGA,LF,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Ho Chi Minh City, Ho Chi Minh City, Vietnam","Long Beach, California, United States","Dallas, Texas, United States",9/7/21,11/7/21,18/8/21,29/8/21,31/8/21,28/8/21,Yes,31/8/21
INKU6671190,MSC LAUREN,GWW,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Ho Chi Minh City, Ho Chi Minh City, Vietnam","Long Beach, California, United States","Dallas, Texas, United States",10/6/21,11/6/21,17/7/21,15/7/21,3/8/21,26/7/21,Yes,26/7/21
MSDU7786669,MSC AURIGA,GWW,,,,,,,,,21/7/21,,Yes,21/7/21
DRYU9377831,MSC AURIGA,GWW,"Thuan An, Tinh Quang Nam, Vietnam","Ho Chi Minh City, Ho Chi Minh City, Vietnam","Long Beach, California, United States","Dallas, Texas, United States",31/5/21,1/6/21,17/7/21,15/7/21,3/8/21,26/7/21,Yes,21/7/21
FCIU8663740,CMA CGM CORTE REAL,LF,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Vung Tau, Tinh Ba Ria-Vung Tau, Vietnam","Los Angeles, California, United States","Dallas, Texas, United States",3/6/21,16/6/21,20/7/21,27/7/21,27/7/21,24/8/21,Yes,2/8/21
BMOU5510689,MSC LAUREN,GWW,"Vung Tau, Tinh Ba Ria-Vung Tau, Vietnam","Ho Chi Minh City, Ho Chi Minh City, Vietnam","Long Beach, California, United States","Dallas, Texas, United States",8/6/21,10/6/21,12/7/21,20/7/21,24/7/21,22/7/21,Yes,24/7/21
CAIU9819819,MSC VEGA,GWw,"Dallas, Texas, United States","Dallas, Texas, United States","Pelabuhan Klang, Selangor, Malaysia","Pelabuhan Klang, Selangor, Malaysia",23/7/21,30/7/21,12/9/21,15/8/21,29/9/21,24/8/21,Yes,22/7/21
FCGU1986770,MSC LAUREN,GWW,"Vung Tau, Tinh Ba Ria-Vung Tau, Vietnam","Ho Chi Minh City, Ho Chi Minh City, Vietnam","Long Beach, California, United States","Dallas, Texas, United States",8/6/21,10/6/21,22/7/21,20/7/21,8/8/21,26/7/21,,
FFAU2624694,MSC LAUREN,GWW,"Vung Tau, Tinh Ba Ria-Vung Tau, Vietnam","Ho Chi Minh City, Ho Chi Minh City, Vietnam","Long Beach, California, United States","Dallas, Texas, United States",9/6/21,12/6/21,23/7/21,20/7/21,9/8/21,24/8/21,Yes,28/7/21
TCNU4811830,YM UBIQUITY,LF,"Thuan An, Tinh Quang Nam, Vietnam","Cai Mep, Tinh Ba Ria-Vung Tau, Vietnam","Los Angeles, California, United States","Dallas, Texas, United States",10/6/21,16/6/21,16/7/21,6/8/21,6/8/21,24/8/21,Yes,9/8/21
CSNU6336184,CAPE ORIENT,CIF,,,,,,,,,,,Yes,22/7/21
BMOU3043559,KRISTINA,YUE SHENG,"Houston, Texas, United States","Houston, Texas, United States","Cartagena, Departamento de Bolivar, Colombia",,20/7/21,22/7/21,7/8/21,,24/8/21,26/7/21,,
ZCSU7745295,MAERSK SUPERIOR,YUE SHENG,"Ningbo, Zhejiang Sheng, China","Ningbo, Zhejiang Sheng, China","Houston, Texas, United States",,16/6/21,16/6/21,4/8/21,,21/8/21,11/9/21,,
TGCU5091743,ONE MARVEL,YUE SHENG,"Ningbo, Zhejiang Sheng, China","Ningbo, Zhejiang Sheng, China","Houston, Texas, United States","Houston, Texas, United States",5/6/21,5/6/21,,30/7/21,3/8/21,3/8/21,Yes,20/7/21
CBHU8637430,OOCL DURBAN,YUE SHENG,"Ningbo, Zhejiang Sheng, China","Zhoushan, Zhejiang Sheng, China","Sydney, State of New South Wales, Australia","Sydney, State of New South Wales, Australia",20/8/21,27/8/21,7/9/21,8/9/21,24/9/21,23/8/21,Yes,16/7/21
